CurrentTotalRuntime,TestNo,TestRuntimeOriginal,KilledByTest,AnalyzedByTest,CoveredByTest,TotalKilled,TotalFailure,TotalException,TotalTimeout,LiveMutants,TotalAnalyzed
381,1,7,57,72,72,57,57,0,0,165,72
1041,2,2,140,150,150,197,197,0,0,25,222
